ISO,gdp
USA,21433226
CHN,14342903
JPN,5081770
DEU,3861124
IND,2868929
GBR,2829108
FRA,2715518
ITA,2003576
BRA,1839758
CAN,1736426
RUS,1699877
KOR,1646739
AUS,1396567
ESP,1393491
MEX,1268871
IDN,1119191
NLD,907051
SAU,792967
TUR,761425
CHE,703082
POL,595858
THA,543549
BEL,533097
SWE,530884
IRN,453996
NGA,448120
ARG,445445
AUT,445075
ARE,421142
NOR,403336
ISR,394652
IRL,388699
PHL,376796
SGP,372063
HKG,365712
MYS,364681
ZAF,351432
DNK,350104
COL,323616
EGY,303092
BGD,302571
CHL,282318
PAK,278222
FIN,269296
VNM,261921
CZE,250681
ROU,250077
PRT,238785
IRQ,234094
PER,226848
GRC,209853
NZL,206929
KAZ,181666
QAT,175838
DZA,171091
HUN,163469
UKR,153781
KWT,134629
MAR,119700
ECU,107436
SVK,105080
PRI,104989
CUB,100023
ETH,95913
KEN,95503
DOM,88941
AGO,88816
LKA,84009
GTM,76710
OMN,76332
MMR,76086
LUX,71105
BGR,68559
GHA,66984
PAN,66801
TZA,63177
BLR,63080
CRI,61801
HRV,60753
CIV,58539
UZB,57921
URY,56046
LTU,54627
SVN,54174
MAC,53859
LBY,52091
LBN,51992
SRB,51475
COD,50401
AZE,48048
JOR,44503
BOL,40895
TKM,40761
CMR,39007
TUN,38797
BHR,38574
PRY,38145
UGA,35165
LVA,34103
EST,31471
NPL,30641
SDN,30513
KHM,27089
SLV,27023
HND,25095
CYP,24949
PNG,24829
TTO,24270
ISL,24188
SEN,23578
ZMB,23310
YEM,22581
ZWE,21441
BIH,20164
AFG,19291
BWA,18340
LAO,18174
GEO,17477
MLI,17280
GAB,16874
JAM,16458
PSE,16277
BFA,15991
MOZ,15291
ALB,15279
MLT,14989
BEN,14391
HTI,14332
MDG,14115
MUS,14048
MNG,13997
ARM,13673
BHS,13579
BRN,13469
NER,12912
MKD,12547
NIC,12521
NAM,12367
GIN,12297
COG,12267
MDA,11969
TCD,11315
GNQ,11027
RWA,10354
KGZ,8455
TJK,8117
XKX,7926
MWI,7667
MRT,7601
IMN,7492
BMU,7484
MCO,7188
LIE,6877
GUM,5920
MDV,5642
MNE,5543
CYM,5517
FJI,5496
TGO,5490
BRB,5209
GUY,5174
SWZ,4472
SLE,4122
VIR,3855
SUR,3697
DJI,3325
AND,3154
FRO,3117
CUW,3102
LBR,3071
ABW,3056
GRL,3052
BDI,3012
BTN,2531
LSO,2376
CAF,2220
LCA,2122
TLS,2018
CPV,1982
BLZ,1880
GMB,1826
SYC,1703
ATG,1662
SMR,1655
SLB,1590
GNB,1339
MNP,1323
GRD,1211
TCA,1197
SXM,1185
COM,1166
KNA,1053
VUT,934
WSM,852
VCT,825
ASM,636
DMA,582
TON,512
STP,419
FSM,402
PLW,268
MHL,221
KIR,195
NRU,118
TUV,47
VGB,0
CHI,0
ERI,0
PYF,0
GIB,0
PRK,0
NCL,0
SOM,0
SSD,0
MAF,0
SYR,0
VEN,0
