lad19cd,lad19nm,Area_ha,GB_Name,Area,
E06000039,Slough,867.0399,London,8670160,
E07000009,East Cambridgeshire,1901.3911,Cambridge,19012891,
E07000222,Warwick,19078.5796,Birmingham,190779037,
E08000026,Coventry,1478.5092,Birmingham,14784306,
E07000187,Mendip,856.8959,Bath and Bristol,8568659,
E06000047,County Durham,8715.9796,Tyne and Wear,87153372,
E06000035,Medway,1335.2525,London,13351858,
E07000038,North East Derbyshire,10363.7433,South and West Yorkshire,103630997,
E09000016,Havering,6073.6794,London,60734817,
E08000005,Rochdale,9930.9523,Merseyside and Greater Manchester,99302823,
E06000057,Northumberland,43565.2006,Tyne and Wear,435617900,
E08000013,St. Helens,8877.1846,Merseyside and Greater Manchester,88766147,
E09000014,Haringey,60.6259,London,606235,
E08000031,Wolverhampton,799.3497,Birmingham,7993260,
E07000198,Staffordshire Moorlands,17426.5959,Stoke-on-Trent,174258286,
E09000018,Hounslow,1224.504,London,12244537,
E08000011,Knowsley,4229.5153,Merseyside and Greater Manchester,42292478,
E08000004,Oldham,6256.5903,Merseyside and Greater Manchester,62561255,
E07000121,Lancaster,1737.1183,"Carnforth, Lancaster and Morecambe",17370267,
E06000007,Warrington,11379.0519,Merseyside and Greater Manchester,113784709,
E09000027,Richmond upon Thames,134.2743,London,1342717,
E07000078,Cheltenham,547.0877,Cheltenham and Gloucester,5470831,
E07000181,West Oxfordshire,1609.7279,Oxford,16096776,
E06000014,York,22411.6266,York,224099552,
E07000238,Wychavon,8863.3178,Birmingham,88629644,
E07000164,Hambleton,1524.8269,York,15246911,
E07000176,Rushcliffe,16250.5046,Derby and Nottingham,162494847,
E07000103,Watford,404.8041,London,4047965,
E08000037,Gateshead,8510.9662,Tyne and Wear,85103605,
E07000215,Tandridge,23306.7483,London,233058945,
E07000004,Aylesbury Vale,4797.3181,London,47971769,
E07000179,South Oxfordshire,15378.4941,Oxford,153780663,
E06000050,Cheshire West and Chester,38879.5869,Merseyside and Greater Manchester,388775547,
E08000009,Trafford,3987.5934,Merseyside and Greater Manchester,39873263,
E09000031,Waltham Forest,840.6468,London,8406080,
E08000017,Doncaster,23258.5216,South and West Yorkshire,232570260,
E08000030,Walsall,3944.9329,Birmingham,39447661,
E07000115,Tonbridge and Malling,17055.9306,London,170552677,
E07000073,Harlow,634.7583,London,6347373,
E07000075,Rochford,11820.5562,London,118201507,
E09000002,Barking and Dagenham,527.945,London,5279355,
E09000017,Hillingdon,4868.3619,London,48682016,
E09000025,Newham,78.8345,London,788303,
E07000167,Ryedale,870.4626,York,8703942,
E07000212,Runnymede,6133.5364,London,61333251,
E07000006,South Bucks,12344.1265,London,123436777,
E07000234,Bromsgrove,19307.5174,Birmingham,193066227,
E07000099,North Hertfordshire,14247.533,London,142469663,
E08000001,Bolton,7228.1602,Merseyside and Greater Manchester,72277647,
E07000118,Chorley,14559.8,Merseyside and Greater Manchester,145590110,
E07000116,Tunbridge Wells,7130.3068,London,71299721,
E07000178,Oxford,1266.4911,Oxford,12664659,
E07000091,New Forest,5107.6025,"Bournemouth, Christchurch and Poole",51073907,
E07000012,South Cambridgeshire,23224.5444,Cambridge,232237806,
E07000217,Woking,4023.4865,London,40234897,
E07000219,Nuneaton and Bedworth,3245.6455,Birmingham,32454722,
E06000054,Wiltshire,6912.5198,Bath and Bristol,69123482,
E06000051,Shropshire,24495.1684,Birmingham,244941192,
E06000032,Luton,137.9552,London,1379423,
E07000083,Tewkesbury,5533.1889,Cheltenham and Gloucester,55330779,
E07000236,Redditch,1795.2797,Birmingham,17951951,
E06000056,Central Bedfordshire,28218.0004,London,282169044,
E07000243,Stevenage,177.973,London,1779716,
E08000032,Bradford,23899.6473,South and West Yorkshire,238981574,
E08000036,Wakefield,23511.9893,South and West Yorkshire,235106516,
E08000028,Sandwell,823.1191,Birmingham,8230707,
E07000196,South Staffordshire,32121.4966,Birmingham,321201107,
E09000006,Bromley,7658.3809,London,76580094,
E08000018,Rotherham,20061.0758,South and West Yorkshire,200597864,
E07000173,Gedling,8797.3294,Derby and Nottingham,87966909,
E08000021,Newcastle upon Tyne,3969.9763,Tyne and Wear,39696765,
E08000035,Leeds,33959.7701,South and West Yorkshire,339577054,
E08000033,Calderdale,22832.2758,South and West Yorkshire,228308377,
E07000241,Welwyn Hatfield,10249.3926,London,102491876,
E06000008,Blackburn with Darwen,5279.0845,Merseyside and Greater Manchester,52787285,
E08000019,Sheffield,9067.7802,South and West Yorkshire,90672315,
E07000095,Broxbourne,3325.4751,London,33254079,
E07000175,Newark and Sherwood,6280.8899,Derby and Nottingham,62805285,
E08000015,Wirral,7334.477,Merseyside and Greater Manchester,73341457,
E07000070,Chelmsford,12826.6034,London,128261695,
E09000021,Kingston upon Thames,638.6892,London,6386493,
E08000025,Birmingham,3732.5967,Birmingham,37324522,
E07000214,Surrey Heath,4190.528,London,41904435,
E06000022,Bath and North East Somerset,24748.7284,Bath and Bristol,247480536,
E07000127,West Lancashire,31034.4167,Merseyside and Greater Manchester,310324140,
E07000192,Cannock Chase,4825.3046,Birmingham,48251158,
E09000026,Redbridge,1920.912,London,19208449,
E07000221,Stratford-on-Avon,22368.2854,Birmingham,223674641,
E08000016,Barnsley,22409.9931,South and West Yorkshire,224085383,
E07000068,Brentwood,13733.6373,London,137332364,
E07000170,Ashfield,4524.9276,Derby and Nottingham,45247054,
E07000072,Epping Forest,31676.7569,London,316758655,
E08000006,Salford,3372.6223,Merseyside and Greater Manchester,33724456,
E07000111,Sevenoaks,34398.6099,London,343972738,
E07000193,East Staffordshire,39.2277,Burton-upon-Trent and Swadlincote,392253,
E06000059,Dorset,24026.2575,"Bournemouth, Christchurch and Poole",240253545,
E07000122,Pendle,2044.6448,Merseyside and Greater Manchester,20444901,
E09000029,Sutton,604.3538,London,6043355,
E07000237,Worcester,234.624,Birmingham,2346215,
E06000041,Wokingham,2904.9126,London,29047696,
E07000005,Chiltern,17379.1713,London,173786961,
E07000119,Fylde,1753.8708,Blackpool,17537619,
E07000199,Tamworth,210.3727,Birmingham,2103667,
E07000209,Guildford,22636.2181,London,226356245,
E07000120,Hyndburn,3997.4393,Merseyside and Greater Manchester,39971005,
E08000007,Stockport,5859.9591,Merseyside and Greater Manchester,58596286,
E07000213,Spelthorne,3320.7447,London,33206993,
E07000128,Wyre,684.708,Blackpool,6846530,
E07000102,Three Rivers,6721.7578,London,67216343,
E07000195,Newcastle-under-Lyme,9427.2929,Stoke-on-Trent,94268009,
E06000040,Windsor and Maidenhead,16477.5468,London,164769236,
E06000034,Thurrock,11671.6468,London,116712873,
E07000037,High Peak,3979.3911,Merseyside and Greater Manchester,39792124,
E06000036,Bracknell Forest,3841.6788,London,38415512,
E08000023,South Tyneside,2352.6027,Tyne and Wear,23524510,
E07000007,Wycombe,15627.9166,London,156272544,
E08000002,Bury,5923.165,Merseyside and Greater Manchester,59227953,
E07000109,Gravesham,7598.8914,London,75985262,
E07000228,Mid Sussex,22.3254,London,223247,
E07000098,Hertsmere,7987.123,London,79868514,
E07000194,Lichfield,15177.8897,Birmingham,151771901,
E07000110,Maidstone,527.5726,London,5275528,
E07000240,St Albans,13150.3366,London,131498775,
E07000239,Wyre Forest,11217.7093,Birmingham,112172126,
E08000010,Wigan,10648.3054,Merseyside and Greater Manchester,106477697,
E09000011,Greenwich,0.5389,London,5388,
E07000117,Burnley,1051.8788,Merseyside and Greater Manchester,10518057,
E07000008,Cambridge,973.4236,Cambridge,9733909,
E09000009,Ealing,308.7784,London,3087712,
E07000126,South Ribble,7618.0853,Merseyside and Greater Manchester,76176612,
E06000006,Halton,2486.9158,Merseyside and Greater Manchester,24868141,
E06000025,South Gloucestershire,23039.679,Bath and Bristol,230394879,
E06000033,Southend-on-Sea,578.7132,London,5787054,
E07000208,Epsom and Ewell,1560.9204,London,15608803,
E07000096,Dacorum,10634.7535,London,106343470,
E06000018,Nottingham,736.6213,Derby and Nottingham,7365804,
E06000021,Stoke-on-Trent,1767.4381,Stoke-on-Trent,17673650,
E09000015,Harrow,1088.1979,London,10881967,
E07000177,Cherwell,8410.2568,Oxford,84100705,
E07000032,Amber Valley,8654.4732,Derby and Nottingham,86540029,
E08000012,Liverpool,529.7701,Merseyside and Greater Manchester,5297382,
E07000210,Mole Valley,19643.4237,London,196428607,
E07000123,Preston,656.6458,Merseyside and Greater Manchester,6565921,
E07000066,Basildon,6900.4282,London,69000530,
E07000033,Bolsover,1079.9934,South and West Yorkshire,10799375,
E07000220,Rugby,20588.5159,Birmingham,205878643,
E06000015,Derby,243.7174,Derby and Nottingham,2437066,
E07000036,Erewash,7845.335,Derby and Nottingham,78449598,
E07000125,Rossendale,3123.7341,Merseyside and Greater Manchester,31234973,
E06000024,North Somerset,15543.8623,Bath and Bristol,155433951,
E07000172,Broxtowe,4905.6137,Derby and Nottingham,49052608,
E08000027,Dudley,1766.6545,Birmingham,17665780,
E09000004,Bexley,1111.8531,London,11118113,
E07000242,East Hertfordshire,16441.2261,London,164409195,
E06000058,"Bournemouth, Christchurch and Poole",5680.3187,"Bournemouth, Christchurch and Poole",56800553,
E06000009,Blackpool,71.976,Blackpool,719717,
E07000211,Reigate and Banstead,8768.7457,London,87684219,
E08000034,Kirklees,25007.6091,South and West Yorkshire,250057384,
E08000024,Sunderland,3184.9409,Tyne and Wear,31847023,
E07000180,Vale of White Horse,8093.9257,Oxford,80937198,
E06000023,"Bristol, City of",604.5672,Bath and Bristol,6045432,
E09000003,Barnet,2384.0677,London,23839921,
E07000218,North Warwickshire,17287.1441,Birmingham,172865739,
E07000077,Uttlesford,3810.1399,London,38099955,
E07000079,Cotswold,113.2914,Cheltenham and Gloucester,1132881,
E07000107,Dartford,4096.1065,London,40959959,
E07000124,Ribble Valley,1725.8214,Merseyside and Greater Manchester,17256895,
E09000010,Enfield,3070.8175,London,30707234,
E08000003,Manchester,1277.1496,Merseyside and Greater Manchester,12770971,
E08000014,Sefton,7318.1383,Merseyside and Greater Manchester,73176775,
E07000069,Castle Point,2500.7708,London,25007108,
E08000022,North Tyneside,1660.1961,Tyne and Wear,16600715,
E08000008,Tameside,5075.0549,Merseyside and Greater Manchester,50748699,
E09000008,Croydon,2190.201,London,21901375,
E08000029,Solihull,11870.5758,Birmingham,118699849,
E07000216,Waverley,20868.3884,London,208678594,
E07000034,Chesterfield,1435.2471,South and West Yorkshire,14351383,
E07000207,Elmbridge,5614.8517,London,56147087,
E07000169,Selby,1812.9347,York,18128072,
E07000165,Harrogate,1348.0686,York,13479562,
E07000197,Stafford,1816.3276,Birmingham,18162394,
E07000039,South Derbyshire,686.1316,Burton-upon-Trent and Swadlincote,6860927,
E07000169,Selby,17436.4738,South and West Yorkshire,174354800,
E07000165,Harrogate,13153.3261,South and West Yorkshire,131524570,
E06000049,Cheshire East,6527.197,Stoke-on-Trent,65268735,
E07000197,Stafford,9299.8157,Stoke-on-Trent,92994878,
E07000039,South Derbyshire,1705.7603,Derby and Nottingham,17056831,
E06000049,Cheshire East,33636.7869,Merseyside and Greater Manchester,336347889,
,,,,16157.28583,625.982991
,,,,0.038743078,
