"lad19cd","t_area","lad19nm","l_area","p_area"
"E07000212",7370838,"Runnymede",78108714,0.09436639809484
"E07000213",4179411,"Spelthorne",51203040,0.0816242746524425
"E08000007",9365320,"Stockport",126173183,0.0742259153436749
"E07000208",2523094,"Epsom and Ewell",34140257,0.0739037787559713
"E07000207",6076956,"Elmbridge",96362871,0.0630632518202991
"E07000127",21312074,"West Lancashire",346817566,0.0614503880117768
"E07000095",3049133,"Broxbourne",51487183,0.0592212046248481
"E07000103",1264770,"Watford",21418297,0.0590509133382547
"E07000078",2722240,"Cheltenham",46611517,0.058402733384541
"E09000026",3131442,"Redbridge",56414067,0.0555081767106066
